epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
70,7934.8,0.66072,1.15477,1.19903,0.78117,0.71771,0.77799,0.64245,0.69394,0.96629,1.16325,0.00438375,0.00146125,0.00438375,0.00146125,0.00438375,0.00146125,0.00438375,0.00146125
71,8086.71,0.54096,0.76206,1.15814,0.78691,0.71572,0.77834,0.64336,0.69253,0.96491,1.16182,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375
72,8220.39,0.53234,0.7203,1.15008,0.78442,0.71739,0.77881,0.64414,0.69082,0.9632,1.16019,0.00364125,0.00121375,0.00364125,0.00121375,0.00364125,0.00121375,0.00364125,0.00121375
73,8354.06,0.51931,0.69373,1.1348,0.79411,0.71191,0.77943,0.64492,0.68904,0.96169,1.15839,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
74,8487.24,0.50865,0.6384,1.14082,0.80218,0.70418,0.78056,0.64606,0.68774,0.95971,1.15712,0.00289875,0.00096625,0.00289875,0.00096625,0.00289875,0.00096625,0.00289875,0.00096625
75,8620.34,0.49456,0.62315,1.12562,0.80175,0.70528,0.78112,0.64719,0.68639,0.95846,1.15614,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425
76,8750.55,0.4975,0.61387,1.12302,0.79542,0.70815,0.78162,0.64716,0.6848,0.95656,1.15448,0.00215625,0.00071875,0.00215625,0.00071875,0.00215625,0.00071875,0.00215625,0.00071875
77,8861.24,0.48614,0.59408,1.11303,0.796,0.70979,0.78168,0.64671,0.68389,0.95461,1.15379,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
78,8971.34,0.47823,0.58392,1.10895,0.79641,0.71104,0.78202,0.64799,0.68313,0.95364,1.15318,0.00141375,0.00047125,0.00141375,0.00047125,0.00141375,0.00047125,0.00141375,0.00047125
79,9079.77,0.48239,0.57499,1.1088,0.79157,0.71391,0.78218,0.64828,0.68228,0.95293,1.15269,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475
80,9184.19,0.47426,0.55637,1.10937,0.78909,0.71524,0.78248,0.64909,0.68172,0.9521,1.1525,0.00067125,0.00022375,0.00067125,0.00022375,0.00067125,0.00022375,0.00067125,0.00022375
