epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,53.8365,1.14503,2.66336,0.01897,0.66204,0.66667,0.80489,0.65699,1.62297,1.19392,0.01071,2.82082e-05,2.82082e-05,2.82082e-05
40,55.0454,1.45607,2.2925,0.02167,0.66204,0.66667,0.80489,0.65699,1.62297,1.19392,0.01071,2.84911e-05,2.84911e-05,2.84911e-05
41,56.4065,1.05511,1.64988,0.01364,0.70345,0.66667,0.80298,0.65482,1.63423,1.19123,0.01084,2.87504e-05,2.87504e-05,2.87504e-05
42,57.8361,1.12298,1.65548,0.01733,0.70345,0.66667,0.80298,0.65482,1.63423,1.19123,0.01084,2.89861e-05,2.89861e-05,2.89861e-05
43,59.1881,0.47702,2.91988,0.00952,0.69276,0.67229,0.80379,0.65574,1.63195,1.22931,0.01072,2.91983e-05,2.91983e-05,2.91983e-05
44,60.5547,0.99769,1.45624,0.01364,0.69276,0.67229,0.80379,0.65574,1.63195,1.22931,0.01072,2.93869e-05,2.93869e-05,2.93869e-05
45,61.91,0.62152,1.59153,0.01046,0.66947,0.67474,0.80373,0.64843,1.63265,1.26604,0.01067,2.9552e-05,2.9552e-05,2.9552e-05
46,63.1973,1.31262,1.81365,0.02222,0.66947,0.67474,0.80373,0.64843,1.63265,1.26604,0.01067,2.96935e-05,2.96935e-05,2.96935e-05
47,64.646,1.02236,1.2202,0.01112,0.69026,0.67484,0.79265,0.64048,1.64841,1.30109,0.01149,2.98114e-05,2.98114e-05,2.98114e-05
48,66.0954,1.02185,1.36211,0.01356,0.69026,0.67484,0.79265,0.64048,1.64841,1.30109,0.01149,2.99058e-05,2.99058e-05,2.99058e-05
49,67.4808,1.18162,1.65907,0.01441,0.68043,0.67908,0.80669,0.62718,1.66889,1.24054,0.01184,2.99766e-05,2.99766e-05,2.99766e-05
50,68.9331,1.08629,1.08884,0.01329,0.68043,0.67908,0.80669,0.62718,1.66889,1.24054,0.01184,3.00238e-05,3.00238e-05,3.00238e-05
51,70.5112,0.92756,1.27021,0.01052,0.6839,0.66523,0.80368,0.62164,1.69072,1.26334,0.01235,3.00475e-05,3.00475e-05,3.00475e-05
52,71.8864,1.07421,1.05048,0.00953,0.6839,0.66523,0.80368,0.62164,1.69072,1.26334,0.01235,3.00476e-05,3.00476e-05,3.00476e-05
53,73.1736,0.79432,1.27677,0.01236,0.6839,0.66523,0.80368,0.62164,1.69072,1.26334,0.01235,3.00242e-05,3.00242e-05,3.00242e-05
54,74.5225,1.08405,1.82279,0.01844,0.79386,0.6593,0.87274,0.66295,1.70687,1.22071,0.01255,2.99772e-05,2.99772e-05,2.99772e-05
55,75.7582,1.07675,1.31611,0.01102,0.79386,0.6593,0.87274,0.66295,1.70687,1.22071,0.01255,2.99066e-05,2.99066e-05,2.99066e-05
56,77.0734,0.83542,1.6114,0.00837,0.79386,0.6593,0.87274,0.66295,1.70687,1.22071,0.01255,2.98125e-05,2.98125e-05,2.98125e-05
57,78.4446,0.81928,1.07782,0.00982,0.86909,0.65208,0.87274,0.67118,1.7038,1.21504,0.01243,2.96948e-05,2.96948e-05,2.96948e-05
58,79.7462,0.81809,1.08802,0.00764,0.86909,0.65208,0.87274,0.67118,1.7038,1.21504,0.01243,2.95535e-05,2.95535e-05,2.95535e-05
59,81.0458,1.10463,1.37598,0.01613,0.86909,0.65208,0.87274,0.67118,1.7038,1.21504,0.01243,2.93887e-05,2.93887e-05,2.93887e-05
60,82.3759,1.11463,1.88959,0.01823,0.67184,0.66687,0.87171,0.65346,1.69261,1.28035,0.01297,2.92003e-05,2.92003e-05,2.92003e-05
61,83.6531,0.70716,1.11126,0.00768,0.67184,0.66687,0.87171,0.65346,1.69261,1.28035,0.01297,2.89884e-05,2.89884e-05,2.89884e-05
62,84.9126,0.89579,0.98106,0.01561,0.67184,0.66687,0.87171,0.65346,1.69261,1.28035,0.01297,2.87529e-05,2.87529e-05,2.87529e-05
63,86.2765,1.44948,2.99182,0.03051,0.6139,0.66939,0.78984,0.57975,1.7012,1.33126,0.01308,2.84938e-05,2.84938e-05,2.84938e-05
64,87.5625,0.87102,1.27485,0.00812,0.6139,0.66939,0.78984,0.57975,1.7012,1.33126,0.01308,2.82112e-05,2.82112e-05,2.82112e-05
65,88.8283,1.05583,1.1375,0.0115,0.6139,0.66939,0.78984,0.57975,1.7012,1.33126,0.01308,2.7905e-05,2.7905e-05,2.7905e-05
66,90.5514,0.76072,0.83063,0.01283,0.6229,0.66369,0.78607,0.57811,1.73176,1.33903,0.01345,2.75753e-05,2.75753e-05,2.75753e-05
67,92.3044,0.88591,0.72342,0.00821,0.6229,0.66369,0.78607,0.57811,1.73176,1.33903,0.01345,2.7222e-05,2.7222e-05,2.7222e-05
68,93.9819,1.13417,1.47325,0.01324,0.6229,0.66369,0.78607,0.57811,1.73176,1.33903,0.01345,2.68451e-05,2.68451e-05,2.68451e-05
69,95.7022,0.91346,0.978,0.01263,0.59341,0.66464,0.78605,0.56758,1.74908,1.3841,0.01381,2.64447e-05,2.64447e-05,2.64447e-05
70,97.3659,1.30228,1.98525,0.02069,0.59341,0.66464,0.78605,0.56758,1.74908,1.3841,0.01381,2.60207e-05,2.60207e-05,2.60207e-05
71,99.0331,0.80894,0.93972,0.0077,0.59341,0.66464,0.78605,0.56758,1.74908,1.3841,0.01381,2.55731e-05,2.55731e-05,2.55731e-05
72,100.83,0.98727,0.82932,0.00892,0.62802,0.68195,0.78565,0.56742,1.72695,1.35939,0.01358,2.5102e-05,2.5102e-05,2.5102e-05
73,102.487,0.77788,1.18586,0.0101,0.62802,0.68195,0.78565,0.56742,1.72695,1.35939,0.01358,2.46073e-05,2.46073e-05,2.46073e-05
74,104.165,0.93364,1.19106,0.01092,0.62802,0.68195,0.78565,0.56742,1.72695,1.35939,0.01358,2.40891e-05,2.40891e-05,2.40891e-05
75,105.954,1.18997,1.48649,0.02017,0.90937,0.47769,0.78407,0.56697,1.78302,1.31577,0.0144,2.35472e-05,2.35472e-05,2.35472e-05
76,107.68,0.95506,0.88001,0.01129,0.90937,0.47769,0.78407,0.56697,1.78302,1.31577,0.0144,2.29819e-05,2.29819e-05,2.29819e-05
77,109.359,1.02175,0.98853,0.01084,0.90937,0.47769,0.78407,0.56697,1.78302,1.31577,0.0144,2.23929e-05,2.23929e-05,2.23929e-05
78,110.886,1.19214,1.52484,0.01533,0.7619,0.47221,0.76569,0.54312,1.80154,1.38435,0.01489,2.17805e-05,2.17805e-05,2.17805e-05
79,112.16,0.69725,0.77458,0.00752,0.7619,0.47221,0.76569,0.54312,1.80154,1.38435,0.01489,2.11444e-05,2.11444e-05,2.11444e-05
80,113.571,0.93475,0.83056,0.01138,0.7619,0.47221,0.76569,0.54312,1.80154,1.38435,0.01489,2.04848e-05,2.04848e-05,2.04848e-05
81,114.83,0.86937,0.90956,0.01483,0.77154,0.4643,0.75687,0.54238,1.70228,1.48552,0.01413,1.98016e-05,1.98016e-05,1.98016e-05
82,116.038,0.8006,0.53043,0.01276,0.77154,0.4643,0.75687,0.54238,1.70228,1.48552,0.01413,1.90949e-05,1.90949e-05,1.90949e-05
83,117.226,0.96173,1.87349,0.01264,0.77154,0.4643,0.75687,0.54238,1.70228,1.48552,0.01413,1.83646e-05,1.83646e-05,1.83646e-05
84,118.526,0.73205,0.95688,0.01134,0.94098,0.46544,0.70116,0.49409,1.71899,1.6067,0.01467,1.76107e-05,1.76107e-05,1.76107e-05
85,119.776,0.82405,1.36308,0.0092,0.94098,0.46544,0.70116,0.49409,1.71899,1.6067,0.01467,1.68333e-05,1.68333e-05,1.68333e-05
86,120.992,1.14714,1.96788,0.02216,0.94098,0.46544,0.70116,0.49409,1.71899,1.6067,0.01467,1.60323e-05,1.60323e-05,1.60323e-05
87,122.19,1.09661,1.36664,0.01342,0.94098,0.46544,0.70116,0.49409,1.71899,1.6067,0.01467,1.52077e-05,1.52077e-05,1.52077e-05
88,123.461,1.01943,1.2609,0.01485,0.67514,0.48279,0.67382,0.4601,1.68055,1.72577,0.01404,1.43596e-05,1.43596e-05,1.43596e-05
89,124.698,1.18823,1.62986,0.01681,0.67514,0.48279,0.67382,0.4601,1.68055,1.72577,0.01404,1.34879e-05,1.34879e-05,1.34879e-05
90,126.103,0.86463,1.04265,0.00911,0.67514,0.48279,0.67382,0.4601,1.68055,1.72577,0.01404,1.25927e-05,1.25927e-05,1.25927e-05
91,127.339,0.6522,0.48415,0.00927,0.67514,0.48279,0.67382,0.4601,1.68055,1.72577,0.01404,1.16739e-05,1.16739e-05,1.16739e-05
92,128.581,0.53469,0.52865,0.00587,0.59633,0.49969,0.67107,0.47553,1.82112,1.54461,0.01524,1.07315e-05,1.07315e-05,1.07315e-05
93,129.888,0.88889,0.90963,0.01673,0.59633,0.49969,0.67107,0.47553,1.82112,1.54461,0.01524,9.76562e-06,9.76562e-06,9.76562e-06
94,131.074,0.62536,0.50503,0.00627,0.59633,0.49969,0.67107,0.47553,1.82112,1.54461,0.01524,8.77613e-06,8.77613e-06,8.77613e-06
95,132.269,1.1354,0.92679,0.01908,0.59633,0.49969,0.67107,0.47553,1.82112,1.54461,0.01524,7.76308e-06,7.76308e-06,7.76308e-06
96,133.575,0.79786,0.52299,0.01189,0.56459,0.49833,0.65723,0.47686,1.85003,1.5135,0.01587,6.72648e-06,6.72648e-06,6.72648e-06
97,134.811,0.64414,0.40657,0.00707,0.56459,0.49833,0.65723,0.47686,1.85003,1.5135,0.01587,5.6663e-06,5.6663e-06,5.6663e-06
98,136.01,0.79141,0.61134,0.01448,0.56459,0.49833,0.65723,0.47686,1.85003,1.5135,0.01587,4.58257e-06,4.58257e-06,4.58257e-06
99,137.172,0.84892,0.58294,0.00989,0.56459,0.49833,0.65723,0.47686,1.85003,1.5135,0.01587,3.47528e-06,3.47528e-06,3.47528e-06
100,138.439,0.68465,0.60915,0.00667,0.56483,0.49947,0.68542,0.49067,1.8017,1.48081,0.01499,2.34442e-06,2.34442e-06,2.34442e-06
